0x15 idtype
0x18 filelist
0x19 dir
0x1a file
0x1b name
0x1c noofframes
0x1d fonts
0x1e font
0x1f height
0x20 x
0x21 y
0x22 fontname
0x23 charset
0x24 xfile
0x25 texturefile
0x26 texturefile1
0x27 texturefile2
0x28 texturefile3
0x29 texturefile4
0x2a texturefile5
0x2b texturefile6
0x2c texturefile7
0x2d texturefile8
0x2e texturefile9
0x2f size
0x30 fullscreen
0x31 cube
0x32 center
0x33 side
0x34 animatedmesh
0x35 spritetypes
0x36 spritetype
0x37 objecttypes
0x38 cubetype
0x39 meshtype
0x3a mapmeshtype
0x3b animatedmeshtype
0x3c sprites
0x3d sprite
0x3e objects
0x3f group
0x40 animation
0x41 object
0x42 defaultanimationtime
0x43 particletype
0x44 flaretype
0x45 nr
0x46 resizeablespritetype
0x47 textspritetype
0x48 lighttype
0x49 diffuse
0x4a specular
0x4b ambient
0x4c position
0x4d direction
0x4e range
0x4f falloff
0x50 attenuation
0x51 theta
0x52 phi
0x53 lighttypes
0x54 light
0x55 corneredtilespritetype
0x56 color
0x57 arrowtype
0x58 endat
0x59 effect
0x5a effectfile
0x5b primitivetype
0x5c xanimationfile
0x5d scale
0x5e maptexttype
0x5f graphicssettings
0x60 refreshrate
0x61 firstrun
0x62 useranisotropy
0x63 shadows
0x64 paneltype
0x65 seasoninfo
0x66 origo
0x67 cameramove
0x68 camera
0x69 start
0x6a stop
0x6b target
0x6c up
0x6d duration
0x6e speed
0x6f anti_alias_geometry
0x70 shadow_effect
0x71 dynamic_lights
0x72 format
0x73 left
0x74 right
0x75 centre
0x76 gamma
0x77 normal
0x78 width
0x79 gregoriandat
0x7a year
0x7b month
0x7c day
0x7d newday
0x7e guitypes
0x7f guibuttontype
0x80 upsprite
0x81 downsprite
0x82 dissablesprite
0x83 oversprite
0x84 quadtexturesprite
0x85 textboxtype
0x86 bordersize
0x87 parent
0x88 leftbutton
0x89 rightbutton
0x8a slider
0x8b track
0x8c scrollbartype
0x8d priority
0x8e buttondrag
0x8f text
0x90 maxheight
0x91 maxwidth
0x92 tooltip
0x93 tooltiptext
0x94 delayedtooltiptext
0x95 minvalue
0x96 maxvalue
0x97 stepsize
0x98 startvalue
0x99 horizontal
0x9a staydownbutton
0x9b windowtype
0x9c background
0x9d moveable
0x9e resizeablewindow
0x9f radiobutton
0xa0 radiobuttongrouptype
0xa1 verticalscrollbar
0xa2 horizontalscrollbar
0xa3 scrollbargrouptype
0xa4 radioscrollbar
0xa5 dontrender
0xa6 horizontalborder
0xa7 verticalborder
0xa8 listboxitemtype
0xa9 listboxtype
0xaa editboxtype
0xab 3dbuttontype
0xac buttonmesh
0xad buttontext
0xae buttonfont
0xaf 3dposition
0xb0 fixedsize
0xb1 3dicontype
0xb2 positiontype
0xb3 layout
0xb4 multispritebuttontype
0xb5 icon
0xb6 icontype
0xb7 dropdown
0xb8 heading
0xb9 dropdownmenutype
0xba step
0xbb language
0xbc l_english
0xbd l_french
0xbe l_german
0xbf l_swedish
0xc0 gui
0xc1 graphics
0xc2 orientation
0xc3 checkbox
0xc4 checkboxtype
0xc5 truncate
0xc6 receiver
0xc7 tickstamp
0xc8 ordertype
0xc9 server
0xca client
0xcb commandlist
0xcc istargetasynchronous
0xcd port
0xce string_address
0xcf session_name
0xd0 status
0xd1 address
0xd2 basic_type
0xd3 standardchatmessage
0xd4 alluserlist
0xd5 announcedone
0xd6 channel
0xd7 chattext
0xd8 banuser
0xd9 datetime
0xda handler
0xdb identity
0xdc key
0xdd message
0xde password
0xdf rank
0xe0 row
0xe1 type
0xe2 user
0xe3 win
0xe4 userslist
0xe5 game
0xe6 dummy
0xe7 sound_fx_volume
0xe8 music_volume
0xe9 scroll_speed
0xea camera_rotation_speed
0xeb zoom_speed
0xec mouse_speed
0xed master_volume
0xee version
0xef executable
0xf0 data
0xf1 animatedtype
0xf2 requeststartown
0xf3 startown
0xf4 changeowner
0xf5 newowner
0xf6 vsync
0xf7 debugmonitor
0xf8 debug
0xf9 pdxa
0xfa versionname
0xfb frames
0xfc frame
0xfd stance
0xfe indices
0xff nooftriangles
0x100 noofvertices
0x101 vertices
0x102 l_italian
0x103 l_spanish
0x104 l_polish
0x105 textblock
0x106 systemmessage
0x107 personalmessage
0x108 requestusersgames
0x109 requestgame
0x10a sendgame
0x10b bodytexture
0x10c colortwo
0x10d static
0x10e animatedmaptext
0x10f maskedshieldtype
0x110 spacing
0x111 membername
0x112 progressbartype
0x113 transparencecheck
0x114 soundeffect
0x115 pitch
0x116 pan
0x117 voicetype
0x118 soundeffects
0x119 upsound
0x11a downsound
0x11b oversound
0x11c clicksound
0x11d lockable
0x11e drag
0x11f volume
0x120 instanttextboxtype
0x121 shortcut
0x122 writetochatbuffer
0x123 chatbuffer
0x124 chatmessage
0x125 loadtype
0x126 norefcount
0x127 bitmapfont
0x128 bitmapfonts
0x129 colorcodes
0x12a progressbar3dtype
0x12b countrychat
0x12c locatorname
0x12d locatormatrix
0x12e adapter
0x12f gunsmoke
0x130 effectstartframe
0x131 starttransfer
0x132 sendchunk
0x133 chunkreceived
0x134 ledger_data
0x135 ledger_data_x
0x136 ledger_data_y
0x137 income_statistics
0x138 nation_size_statistics
0x139 inflation_statistics
0x13a offset
0x13b multisampling
0x13c anisotropicfiltering
0x13d upper
0x13e lower
0x13f allwaystransparent
0x140 threedguitype
0x141 shadowsize
0x142 ambient_volume
0x143 luafunction_buttonclick
0x144 l_czech
0x145 l_hungarian
0x146 l_dutch
0x147 l_portugese
0x148 l_russian
0x149 l_finnish
0x14a actorfile
0x14b idle
0x14c attack
0x14d move
0x14e overlappingelementsboxtype
0x14f luaclick
0x150 tilespritetype
0x151 retargeting
0x152 attach
0x153 piecharttype
0x154 bargraphtype
0x155 billboardtype
0x156 rotation
0x157 offset2
0x158 offset3
0x159 offset4
0x15a font_size
0x15b anisotropic_filtering
0x15c multi_sampling
0x15d scrollingsprite
0x15e node
0x15f attachid
0x160 rangelimitmin
0x161 rangelimitmax
0x162 rangelimitminicon
0x163 rangelimitmaxicon
0x164 userangelimit
0x165 none
0x166 barcharttype
0x168 linecharttype
0x169 linewidth
0x16a flipu
0x16b flipv
0x16c pdx_tooltip
0x16d pdx_tooltip_delayed
0x16e use_animation
0x16f vertical
0x170 cull_distance
0x171 tilingcenter
0x172 color_override
0x173 first_on_top
0x174 path
0x175 dependencies
0x176 steam_id
0x177 pdx_id
0x178 archive
0x179 checksum
0x17a affects_checksum
0x17b has_set_language
0x17c click_to_front
0x17d gamersgate_id
0x17e replace_path
0x17f user_dir
0x180 pdxmesh
0x181 pdxparticle
0x182 diplomacy_construction
0x183 merchant_construction
0x184 chat_message
0x185 chat_user_joined
0x186 chat_user_left
0x187 chat_user_joined_channel
0x188 chat_user_left_channel
0x189 chat_new_channel
0x18a chat_close_channel
0x18b chat_sync
0x18c chat_request_sync
0x18d cursor
0x18e show_position
0x18f hide_position
0x190 animation_type
0x191 animation_time
0x192 accelerated
0x193 decelerated
0x194 smoothstep
0x195 linear
0x196 can_be_lowres
0x197 particle
0x198 subsystem
0x199 max_amount
0x19a emission
0x19b velocity
0x19c life
0x19d yaw
0x19e force
0x19f texture
0x1a0 end
0x1a1 amount
0x1a2 op
0x1a3 repeat
0x1a4 curve
